x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
137;0.7124999999999999;0.7124999999999999;0;6.37735117864395e-05
138;0.7315;0.7315;0;6.175742947892405e-05
139;0.7505000000000002;0.7505000000000002;0;5.973234022637069e-05
140;0.7694999999999999;0.7694999999999999;0;5.808724384008512e-05
141;0.7885;0.7885;0;5.676779612880031e-05
142;0.8075000000000001;0.8075000000000001;0;5.507726467108112e-05
143;0.8265000000000002;0.8265000000000002;0;5.426067324327355e-05
144;0.8454999999999999;0.8454999999999999;0;5.375283901013666e-05
145;0.8645;0.8645;0;5.259125804847521e-05
146;0.8835000000000002;0.8835000000000002;0;5.146786531721165e-05
147;0.9025000000000003;0.9025000000000003;0;5.006120733614808e-05
148;0.9215;0.9215;0;4.71770658547181e-05
149;0.9405000000000001;0.9405000000000001;0;4.531771872126833e-05
150;0.9594999999999998;0.9594999999999998;0;4.405913181437131e-05
151;0.9784999999999999;0.9784999999999999;0;4.347352855728175e-05
152;0.9974999999999996;0.9974999999999996;0;4.316763472391663e-05
153;1.0165;1.0165;0;4.306779906000881e-05
154;1.0355;1.0355;0;4.557221924039064e-05
155;1.0545;1.0545;0;4.959743983639183e-05
156;1.0735;1.0735;0;5.121768085027732e-05
157;1.0925;1.0925;0;4.537904764965797e-05
158;1.1115;1.1115;0;3.673877367364182e-05
159;1.1305;1.1305;0;3.598849797231195e-05
160;1.1495;1.1495;0;3.542356974964305e-05
161;1.1685;1.1685;0;3.495855183068666e-05
162;1.1875;1.1875;0;3.502986969362306e-05
163;1.2065;1.2065;0;3.525386350174813e-05
164;1.2255;1.2255;0;3.837006701493607e-05
165;1.2445;1.2445;0;4.26962661121857e-05
166;1.2635;1.2635;0;4.532438002288472e-05
167;1.2825;1.2825;0;4.526352301615288e-05
168;1.3015;1.3015;0;4.24581450191605e-05
169;1.3205;1.3205;0;3.710099022767577e-05
170;1.3395;1.3395;0;2.90159776182008e-05
171;1.3585;1.3585;0;2.877067374632438e-05
172;1.3775;1.3775;0;2.886751550587783e-05
173;1.3965;1.3965;0;2.894575003815589e-05
174;1.4155;1.4155;0;3.038356096646264e-05
175;1.4345;1.4345;0;3.473307215417655e-05
176;1.4535;1.4535;0;3.921362783439684e-05
177;1.4725;1.4725;0;4.103041619382564e-05
178;1.4915;1.4915;0;3.905777504072229e-05
179;1.5105;1.5105;0;3.555807956472563e-05
180;1.5295;1.5295;0;3.061268117756619e-05
181;1.5485;1.5485;0;2.365903840113786e-05
182;1.5675;1.5675;0;2.345369085843836e-05
183;1.5865;1.5865;0;2.336688336999944e-05
184;1.6055;1.6055;0;2.385009603828318e-05
185;1.6245;1.6245;0;2.499133794314422e-05
186;1.6435;1.6435;0;2.813529766863211e-05
187;1.6625;1.6625;0;3.096951416603896e-05
188;1.6815;1.6815;0;3.222565760430982e-05
189;1.7005;1.7005;0;3.166546366298159e-05
190;1.7195;1.7195;0;2.971831043820806e-05
191;1.7385;1.7385;0;2.685270715865042e-05
192;1.7575;1.7575;0;2.329463328654429e-05
193;1.7765;1.7765;0;2.079941085330575e-05
194;1.7955;1.7955;0;2.02834059528565e-05
195;1.8145;1.8145;0;1.823316818608871e-05
196;1.8335;1.8335;0;1.480817835557292e-05
197;1.8525;1.8525;0;1.399395493029566e-05
198;1.8715;1.8715;0;1.649039155178495e-05
199;1.8905;1.8905;0;1.821782639008236e-05
