x_phys_m;p_snapshot_Pa
227;-1.033333333333333;0
228;-1.046666666666667;0
229;-1.06;0
230;-1.073333333333333;0
231;-1.086666666666666;0
232;-1.1;0
233;-1.113333333333333;0
234;-1.126666666666666;0
235;-1.14;0
236;-1.153333333333333;0
237;-1.166666666666667;0
238;-1.18;0
239;-1.193333333333333;0
240;-1.206666666666667;0
241;-1.22;0
242;-1.233333333333333;0
243;-1.246666666666667;0
244;-1.26;0
245;-1.273333333333333;0
246;-1.286666666666667;0
247;-1.3;0
248;-1.313333333333333;0
249;-1.326666666666667;0
250;-1.34;0
251;-1.353333333333333;0
252;-1.366666666666667;0
253;-1.38;0
254;-1.393333333333334;0
255;-1.406666666666667;0
256;-1.42;0
257;-1.433333333333333;0
258;-1.446666666666667;0
259;-1.46;0
260;-1.473333333333333;0
