x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
180;4.025;4.025;0;1.307048242994347e-05
181;4.074999999999999;4.074999999999999;0;1.11933333318134e-05
182;4.125;4.125;0;9.79553483521025e-06
183;4.175000000000001;4.175000000000001;0;9.344398569452991e-06
184;4.225;4.225;0;9.176601846204494e-06
185;4.275;4.275;0;1.068328534889819e-05
186;4.324999999999999;4.324999999999999;0;1.236095050051891e-05
187;4.375;4.375;0;1.30427991799817e-05
188;4.425000000000001;4.425000000000001;0;1.366709033606313e-05
189;4.475;4.475;0;1.340388628056694e-05
190;4.525;4.525;0;1.131339030077754e-05
191;4.574999999999999;4.574999999999999;0;9.63822105100365e-06
192;4.625;4.625;0;8.485586809166994e-06
193;4.675000000000001;4.675000000000001;0;6.77286040577622e-06
194;4.725;4.725;0;6.59131619273513e-06
195;4.775;4.775;0;6.407462667562467e-06
196;4.825000000000001;4.825000000000001;0;5.917291735589211e-06
197;4.875;4.875;0;5.993636629390139e-06
198;4.925000000000001;4.925000000000001;0;6.310557485700856e-06
199;4.975000000000001;4.975000000000001;0;7.382819019337443e-06
